,county,state,date,latitude,longitude,season,temperature_high,temperature_low,cloud_cover,precip_intensity,visibility,conditions,wind_speed,Precip Intensity Groups,Visibility Classification (mi),Cloud Cover Classification (%)
2962,Washington County,Indiana,2020-06-12,38.71342,-86.04386,Summer,86.4,59.1,15.7,0.0,9.9,Clear,10.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
2963,Adams County,Illinois,2013-06-22,39.91682,-90.95499,Summer,89.6,73.5,11.6,0.002,9.8,Rain,13.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
2966,Bond County,Illinois,2011-12-08,38.9241,-89.53419,Winter,42.1,27.1,32.7,0.0,9.9,Partially cloudy,7.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
2967,Calhoun County,Illinois,1998-05-15,39.2949,-90.608,Spring,84.6,71.8,68.6,0.0,4.2,Partially cloudy,18.8,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
2968,Putnam County,Indiana,2006-08-01,39.72848,-86.93636,Summer,92.4,75.8,10.5,0.0,8.8,Clear,12.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
2969,Pulaski County,Indiana,2005-01-22,41.062,-86.5945,Summer,19.0,12.3,85.3,0.249,4.8,"Snow, Partially cloudy",19.0,moderate: 0.1 to 0.3,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
2974,Montgomery County,Indiana,2009-07-01,39.9347,-87.08955,Summer,67.8,61.1,98.6,0.003,9.7,"Rain, Overcast",12.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
2975,Martin County,Indiana,2018-08-26,38.63472,-86.79333,Summer,90.3,72.9,21.8,0.0,9.6,Partially cloudy,10.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
2978,Kosciusko County,Indiana,2003-10-11,41.3382,-85.7037,Fall,77.1,54.8,23.4,0.012,5.8,"Rain, Partially cloudy",10.6,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Sunny: 6.25 to 25
2979,Johnson County,Indiana,2002-05-11,39.38,-86.11,Spring,73.4,52.1,83.4,0.0,10.7,Partially cloudy,18.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
2983,Kosciusko County,Indiana,2005-01-21,39.3579,-85.61,Spring,23.1,14.5,36.1,0.0,10.0,Partially cloudy,17.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
2987,Monroe County,Indiana,1988-11-30,39.32117,-86.46065,Winter,46.1,28.1,87.4,0.032,7.8,"Snow, Rain, Partially cloudy",23.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
2989,Monroe County,Indiana,2006-10-01,39.04744,-86.38894,Fall,78.0,49.7,4.0,0.003,9.0,Rain,8.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
2991,Monroe County,Indiana,2009-10-22,39.02502,-86.49139,Fall,65.9,49.1,33.9,0.081,9.5,"Rain, Partially cloudy",7.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
2992,Morgan County,Indiana,2011-07-09,39.3804,-86.4324,Summer,88.3,66.3,5.6,0.0,8.9,Clear,8.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
2995,Perry County,Indiana,1981-06-15,38.12318,-86.64338,Summer,91.6,74.3,14.5,0.0,9.4,Clear,14.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
2996,Pulaski County,Indiana,2005-01-26,40.9847,-86.911,Winter,41.1,23.1,70.4,0.0,7.7,Partially cloudy,19.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
2997,Putnam County,Indiana,2008-12-01,39.74356,-86.81714,Winter,34.4,25.1,99.9,0.017,5.8,"Snow, Rain, Overcast",17.4,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
2998,Huntington County,Indiana,1997-11-01,40.8179,-85.3532,Fall,53.9,44.0,100.0,0.383,5.4,"Rain, Overcast",16.1,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
3001,Hamilton County,Indiana,1973-07-10,40.0403,-86.1084,Summer,89.0,70.1,73.8,0.0,7.5,Partially cloudy,21.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3002,Grant County,Indiana,1975-07-15,40.54919,-85.69739,Summer,84.8,53.0,6.7,0.0,11.4,Clear,11.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3006,Decatur County,Indiana,1977-06-15,39.45697,-85.5481,Spring,86.1,65.0,39.6,0.0,5.9,Partially cloudy,9.2,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Partly Cloudy/Sunny: 25 to 62.5
3007,Dearborn County,Indiana,1982-08-01,39.06565,-85.01295,Summer,84.2,60.3,57.3,0.0,7.9,Partially cloudy,8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3008,Crawford County,Indiana,2004-06-12,38.4191,-86.23506,Summer,81.9,70.5,63.2,0.487,9.1,"Rain, Partially cloudy",11.2,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3014,Woodson County,Kansas,2017-04-17,38.176,-95.3465,Spring,72.0,56.8,39.3,0.0,9.9,Partially cloudy,13.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3016,Bartholomew County,Indiana,2006-07-06,39.2152,-86.05825,Summer,79.2,54.8,13.5,0.0,9.9,Clear,9.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3018,Brown County,Indiana,2012-05-01,39.2065,-86.22125,Spring,73.8,58.7,81.5,0.989,6.4,"Rain, Partially cloudy",11.2,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3019,Brown County,Indiana,2015-08-08,39.17909,-86.3356,Summer,83.5,61.1,18.3,0.0,9.3,Clear,5.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3020,Brown County,Indiana,2020-05-09,39.24841,-86.33011,Spring,55.6,29.1,4.5,0.0,9.9,Clear,11.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
3027,Huntington County,Indiana,2002-07-01,40.74765,-85.57069,Summer,89.7,73.5,20.4,0.0,6.8,Partially cloudy,12.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3028,Sumner County,Kansas,2003-11-15,37.3444,-97.1953,Fall,60.1,39.8,52.8,0.0,7.2,Partially cloudy,8.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3029,Shawnee County,Kansas,1978-07-08,39.072,-95.747,Summer,96.0,61.1,31.2,0.0,11.9,Partially cloudy,26.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3030,Sedgwick County,Kansas,1975-11-15,37.64103,-97.40294,Fall,66.1,33.2,34.6,0.0,19.6,Partially cloudy,17.1,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
3033,Rice County,Kansas,2009-04-15,38.1814,-97.56185,Spring,68.3,45.5,2.8,0.0,9.6,Clear,22.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
3034,Pratt County,Kansas,2012-06-29,37.56279,-98.42924,Summer,102.6,74.7,0.0,0.0,9.9,Clear,19.9,light: 0 to 0.1,Clear: 6.21 to 12.43,
3036,Osage County,Kansas,1984-08-15,38.76635,-95.70296,Summer,95.6,67.7,6.6,0.0,6.3,Clear,10.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3037,Neosho County,Kansas,1975-10-01,37.44208,-95.35479,Fall,65.0,43.1,22.7,0.0,15.6,Partially cloudy,16.1,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
3038,Morris County,Kansas,2009-08-10,38.62563,-96.44296,Summer,83.6,70.0,30.2,0.951,9.4,"Rain, Partially cloudy",26.4,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3040,Mitchell County,Kansas,2017-08-31,39.30595,-98.2833,Summer,83.4,58.0,4.4,0.0,9.7,Clear,8.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
3041,Miami County,Kansas,1994-11-04,38.53062,-89.89167,Winter,69.0,62.9,100.0,1.486,5.2,"Rain, Overcast",17.2,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
3042,McPherson County,Kansas,2014-03-29,38.19744,-97.41755,Spring,62.5,28.0,0.0,0.0,7.7,Clear,11.6,light: 0 to 0.1,Clear: 6.21 to 12.43,
3043,Miami County,Kansas,1998-10-15,38.6234,-94.6837,Fall,79.1,63.1,12.0,0.0,7.9,Clear,19.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3045,Riley County,Kansas,2011-07-15,39.14519,-96.35309,Summer,102.0,78.7,3.0,0.0,9.9,Clear,14.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
3047,Sedgwick County,Kansas,1978-07-10,37.52947,-97.60829,Summer,87.3,69.0,60.6,0.0,14.0,Partially cloudy,15.5,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
3049,Sedgwick County,Kansas,2011-04-01,37.40504,-97.4572,Spring,67.3,46.0,46.1,0.004,7.7,"Rain, Partially cloudy",15.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3050,Shawnee County,Kansas,2005-04-26,39.06381,-95.74633,Spring,54.4,37.6,53.5,0.004,9.6,"Rain, Partially cloudy",21.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3051,Sumner County,Kansas,2005-01-27,37.0581,-97.3374,Spring,39.6,31.9,63.1,0.0,9.5,Partially cloudy,13.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3052,Leavenworth County,Kansas,2005-01-08,39.3716,-94.9,Winter,29.2,13.4,85.0,0.0,6.1,Partially cloudy,12.9,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
3054,Kingman County,Kansas,2000-10-14,37.641,-98.12825,Fall,79.7,59.6,86.3,0.0,4.1,Partially cloudy,15.3,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
3055,Johnson County,Kansas,2013-07-15,38.5735,-94.477,Summer,87.8,69.4,28.7,0.0,9.5,Partially cloudy,11.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3056,Jefferson County,Kansas,2005-02-26,39.1441,-95.488,Spring,58.6,28.9,33.5,0.0,9.9,Partially cloudy,10.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3058,Geary County,Kansas,1980-07-20,39.1489,-96.9614,Summer,102.2,74.1,71.7,0.41,11.5,"Rain, Partially cloudy",15.6,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3059,Douglas County,Kansas,2005-01-26,38.9142,-95.2577,Fall,42.5,30.0,62.0,0.0,9.9,Partially cloudy,14.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3060,Coffey County,Kansas,1974-11-09,38.3908,-95.6491,Fall,49.5,39.6,83.6,0.283,5.5,"Rain, Partially cloudy",17.2,moderate: 0.1 to 0.3,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
3061,Cherokee County,Kansas,1995-06-16,37.274,-94.93115,Summer,86.1,66.8,35.6,0.0,10.3,Partially cloudy,13.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3062,Bourbon County,Kansas,1996-05-01,37.81005,-94.72448,Summer,70.1,53.0,91.3,0.0,14.9,Overcast,14.8,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Cloudy/Overcast: 87.5 to 100
3063,Union County,Kentucky,1996-11-15,37.75972,-87.96917,Fall,48.3,29.9,12.9,0.0,9.9,Clear,11.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3066,Simpson County,Kentucky,2007-08-15,36.68937,-86.45915,Summer,103.2,71.4,17.8,0.0,9.8,Clear,7.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3067,Shelby County,Kentucky,2011-11-20,38.24361,-85.03827,Fall,60.8,55.8,99.3,0.387,7.2,"Rain, Overcast",16.9,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
3068,Shelby County,Kentucky,2012-08-12,38.25861,-85.03827,Summer,82.0,52.5,0.3,0.0,9.9,Clear,6.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
3069,Simpson County,Kentucky,2012-03-20,36.8066,-86.5549,Spring,84.4,60.5,6.5,0.0,9.9,Clear,14.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3070,Trigg County,Kentucky,2005-07-15,36.75139,-87.89472,Summer,81.9,70.7,70.6,0.43,3.2,"Rain, Partially cloudy",9.1,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
3071,Trigg County,Kentucky,2010-08-15,36.8216,-87.93167,Summer,93.2,74.8,32.5,0.13,9.6,"Rain, Partially cloudy",10.0,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3073,Bourbon County,Kansas,2001-08-17,37.7684,-94.97862,Summer,84.5,65.4,24.6,0.0,9.8,Partially cloudy,13.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3075,Jackson County,Kansas,2012-10-15,39.2305,-95.44415,Fall,78.7,42.4,3.8,0.0,9.0,Clear,8.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
3076,Jackson County,Kansas,2014-10-04,39.4045,-94.91451,Fall,57.8,38.1,39.4,0.0,9.9,Partially cloudy,18.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3077,Kingman County,Kansas,2004-04-15,37.3901,-97.56253,Spring,80.3,53.8,49.8,0.0,9.9,Partially cloudy,22.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3079,Kingman County,Kansas,2021-05-17,37.56215,-97.85428,Spring,74.6,60.9,87.0,0.0,9.5,Partially cloudy,14.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3080,Rowan County,Kentucky,2008-06-14,38.05703,-83.46259,Spring,75.6,66.6,60.0,0.048,7.5,"Rain, Partially cloudy",3.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3081,Rockcastle County,Kentucky,2008-10-15,37.32355,-84.26856,Fall,83.2,54.6,11.4,0.0,7.9,Clear,8.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3085,Nelson County,Kentucky,1978-11-15,37.7755,-85.67188,Fall,47.4,43.2,100.0,1.046,4.7,"Rain, Overcast",12.4,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
3088,McLean County,Kentucky,2006-07-12,37.6095,-87.344,Summer,83.3,72.6,61.7,0.776,8.2,"Rain, Partially cloudy",15.1,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3089,McCreary County,Kentucky,2003-02-20,36.66257,-84.33998,Winter,43.5,35.3,99.6,0.0,6.9,Overcast,8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
3091,Martin County,Kentucky,1950-07-01,37.83777,-82.43635,Summer,43.5,35.3,99.6,0.0,6.9,Overcast,8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
3092,Marshall County,Kentucky,1990-04-15,36.8207,-88.41175,Spring,53.9,35.0,73.8,0.075,6.8,"Rain, Partially cloudy",8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3094,Madison County,Kentucky,1973-08-01,37.57039,-84.28714,Summer,80.9,70.1,85.1,0.0,2.3,Partially cloudy,9.2,light: 0 to 0.1,Haze: 1.24 to 2.48,Mostly Cloudy: 62.5 to 87.5
3096,Lincoln County,Kentucky,2009-08-31,37.55156,-84.50035,Fall,71.1,52.1,18.3,0.0,9.9,Clear,10.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3097,Logan County,Kentucky,1991-07-01,37.05575,-86.98705,Summer,92.9,74.9,62.0,0.0,7.2,Partially cloudy,11.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3101,Madison County,Kentucky,1983-09-15,37.75745,-84.10435,Fall,75.8,51.2,49.6,0.0,14.5,Partially cloudy,17.2,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
3104,Mason County,Kentucky,1980-11-05,38.63454,-83.80266,Winter,55.1,35.0,46.3,0.0,13.7,Partially cloudy,12.5,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
3106,McCreary County,Kentucky,2014-09-26,36.40406,-84.23711,Summer,84.0,60.7,36.1,0.0,8.8,Partially cloudy,5.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3107,Nelson County,Kentucky,2006-07-12,37.689,-85.359,Summer,80.0,73.0,77.2,0.238,6.4,"Rain, Partially cloudy",8.9,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3112,Pike County,Kentucky,2005-04-15,37.47975,-82.5183,Spring,67.9,44.7,12.6,0.0,9.9,Clear,8.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3114,Powell County,Kentucky,2004-04-20,37.82708,-83.81139,Spring,71.3,62.0,43.4,0.0,9.2,Partially cloudy,9.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3115,Powell County,Kentucky,2008-10-22,37.83438,-83.69043,Fall,57.1,37.3,0.0,0.0,9.9,Clear,8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,
3116,Powell County,Kentucky,2015-12-22,37.53918,-83.46014,Winter,61.1,54.1,71.8,0.308,9.3,"Rain, Partially cloudy",7.2,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3117,Rowan County,Kentucky,2012-12-08,38.2592,-83.41507,Winter,59.7,51.5,97.9,0.119,7.8,"Rain, Overcast",10.7,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
3118,Lewis County,Kentucky,2005-02-05,38.56277,-83.32354,Unknown,55.1,25.1,0.0,0.0,7.6,Clear,8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,
3120,Lee County,Kentucky,2009-10-13,37.65805,-83.79678,Fall,59.7,50.7,92.9,0.003,9.4,"Rain, Overcast",4.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
3121,Lawrence County,Kentucky,1983-08-01,38.1078,-82.73412,Summer,87.8,74.1,75.8,0.162,11.6,"Rain, Partially cloudy",12.9,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3122,Laurel County,Kentucky,1991-04-15,37.06226,-83.9769,Spring,74.0,60.2,81.3,0.866,6.3,"Rain, Partially cloudy",17.2,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3123,Larue County,Kentucky,2017-01-29,37.51867,-86.05289,Fall,36.6,29.4,85.9,0.0,9.6,Partially cloudy,15.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3124,Johnson County,Kentucky,1999-09-15,37.94235,-82.88309,Fall,75.8,53.6,0.0,0.0,9.9,Clear,9.2,light: 0 to 0.1,Clear: 6.21 to 12.43,
3126,Jefferson County,Kentucky,1971-08-01,38.14415,-85.89175,Summer,82.1,55.5,75.6,0.0,8.2,Partially cloudy,9.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3127,Jackson County,Kentucky,2006-12-22,37.49582,-83.89224,Winter,58.2,48.4,96.4,0.832,7.3,"Rain, Overcast",6.5,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
3128,Hopkins County,Kentucky,1990-10-15,37.29395,-87.52757,Fall,71.9,52.5,5.6,0.0,10.4,Clear,8.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
3129,Henry County,Kentucky,1978-09-30,38.44148,-85.0016,Fall,72.3,58.4,62.6,0.754,4.4,"Rain, Partially cloudy",13.8,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
3132,Grayson County,Kentucky,1975-08-09,37.3817,-86.1358,Summer,85.5,68.7,40.8,0.0,4.8,Partially cloudy,8.7,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Partly Cloudy/Sunny: 25 to 62.5
3133,Grant County,Kentucky,2005-02-02,38.528,-84.588,Fall,38.0,27.7,53.7,0.109,5.9,"Snow, Rain, Partially cloudy",7.7,moderate: 0.1 to 0.3,Light Haze: 2.48 to 6.21,Partly Cloudy/Sunny: 25 to 62.5
3134,Franklin County,Kentucky,1982-11-15,38.12912,-84.94009,Fall,39.4,24.9,25.0,0.0,15.7,Partially cloudy,11.8,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
3135,Grant County,Kentucky,2012-11-16,38.73854,-84.63702,Fall,50.7,26.8,3.5,0.0,6.8,Clear,7.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
3136,Grayson County,Kentucky,2012-04-05,37.55379,-86.35931,Spring,61.4,51.1,81.1,0.071,8.9,"Rain, Partially cloudy",13.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3137,Greenup County,Kentucky,1996-01-16,38.53082,-82.70584,Winter,53.0,28.1,77.9,0.0,8.5,Partially cloudy,10.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
3138,Greenup County,Kentucky,2001-01-04,38.53187,-82.7989,Winter,30.3,24.9,95.4,0.0,8.5,Overcast,9.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
3140,Harlan County,Kentucky,2006-12-09,37.00633,-83.56467,Fall,44.6,14.1,3.6,0.0,9.9,Clear,6.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
3141,Harlan County,Kentucky,2008-10-15,36.89771,-83.16293,Fall,82.4,59.2,21.1,0.0,8.1,Partially cloudy,6.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3147,Johnson County,Kentucky,2004-04-21,37.77591,-82.74628,Unknown,73.9,56.5,34.7,0.24,9.8,"Rain, Partially cloudy",12.1,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3148,Laurel County,Kentucky,2005-07-20,37.0787,-83.95846,Summer,89.3,69.2,28.5,0.012,7.3,"Rain, Partially cloudy",6.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3152,Lawrence County,Kentucky,2005-02-09,38.02825,-82.83425,Fall,52.0,39.0,92.2,0.269,5.3,"Rain, Overcast",9.7,moderate: 0.1 to 0.3,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
3153,Lawrence County,Kentucky,2010-04-13,38.11509,-82.70393,Spring,77.2,48.5,0.0,0.0,9.9,Clear,9.9,light: 0 to 0.1,Clear: 6.21 to 12.43,
3154,Lawrence County,Kentucky,2012-01-04,38.03338,-82.44214,Winter,39.0,17.7,19.0,0.0,9.5,Clear,13.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3157,Lawrence County,Kentucky,2018-10-20,38.195,-82.868,Fall,61.5,44.7,94.3,0.088,9.1,"Rain, Overcast",18.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
3164,Clark County,Kentucky,1976-08-01,37.89508,-84.1989,Summer,77.1,64.1,48.7,0.0,10.5,Partially cloudy,13.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3166,Carter County,Kentucky,1983-01-15,38.33885,-82.89059,Winter,38.0,26.0,100.0,0.111,4.7,"Snow, Rain, Overcast",15.0,moderate: 0.1 to 0.3,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
3169,Boyd County,Kentucky,1998-08-15,38.42968,-82.64877,Summer,80.0,66.8,90.0,0.012,2.2,"Rain, Partially cloudy",3.4,light: 0 to 0.1,Haze: 1.24 to 2.48,Cloudy/Overcast: 87.5 to 100
3170,Bell County,Kentucky,1958-12-31,36.7999,-83.66641,Unknown,80.0,66.8,90.0,0.012,2.2,"Rain, Partially cloudy",3.4,light: 0 to 0.1,Haze: 1.24 to 2.48,Cloudy/Overcast: 87.5 to 100
3171,Barren County,Kentucky,2005-02-04,37.1496,-86.0163,Summer,51.8,26.3,0.2,0.0,5.3,Clear,4.9,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Sunny: 0 to 6.25
3172,Ballard County,Kentucky,1993-01-20,36.9372,-88.9949,Winter,50.1,38.9,100.0,0.402,5.1,"Rain, Overcast",18.3,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
3173,Anderson County,Kentucky,2005-01-09,37.95708,-84.97527,Fall,52.1,37.7,56.9,0.0,9.7,Partially cloudy,10.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
3174,Allen County,Kentucky,2002-04-15,36.772,-86.1425,Spring,83.9,62.0,16.5,0.0,9.7,Clear,12.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
3176,Anderson County,Kentucky,2011-11-15,37.97699,-84.90234,Fall,60.3,52.9,100.0,0.597,8.3,"Rain, Overcast",14.1,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
